,Hidden_Layers,Epochs_Count,Total_Node_Count,Train_Data_Node_Count,Train_Data_Loss,Train_Data_Accuracy,Test_Data_Loss,Test_Data_Accuracy
0,0,20,21,21,0.32638762755706924,0.8646397,0.3279775432051665,0.86481273
1,0,20,42,42,0.31687921332187347,0.8661476,0.32547561949078224,0.86384875
2,0,20,63,63,0.31224977897560474,0.8684959,0.318984039432259,0.86637
3,0,20,126,126,0.3193319055106168,0.8629341,0.3284233139760856,0.86414534
4,0,40,21,21,0.31694140674790616,0.8625634,0.32702030120047987,0.86154985
5,0,40,42,42,0.30918416789665076,0.86758125,0.31973137202685437,0.8660734
6,0,40,63,63,0.3105929220544881,0.8682981,0.3247508165568478,0.867779
7,0,40,126,126,0.310247789906595,0.8683475,0.3256604062304216,0.8684464
8,0,60,21,21,0.3143123491543242,0.86530715,0.332950400086213,0.8595477
9,0,60,42,42,0.3322642105668249,0.8593993,0.3432109690371115,0.8577679
10,0,60,63,63,0.320961675899843,0.86852056,0.3394853159039384,0.86414534
11,0,60,126,126,0.49307033180704285,0.85000616,0.5329931833189773,0.84553206
12,1,20,42,21,0.4448682196604986,0.82489187,0.446375084939956,0.8263997
13,1,20,84,42,0.49764072974832313,0.79886293,0.5037969000656869,0.79814607
14,1,20,126,63,0.3564974833272942,0.84194785,0.36398571616064235,0.8428624
15,1,20,252,126,0.5004219041215726,0.7897417,0.49918112209606136,0.7896181
16,1,40,42,21,0.33888261037532336,0.86281055,0.3489040634788581,0.86036336
17,1,40,84,42,0.3538104200430197,0.84459275,0.3637865602638618,0.8461253
18,1,40,126,63,0.8435268622189631,0.5981708,0.849710601062124,0.59058213
19,1,40,252,126,1.8319895689455927,0.24367817,1.8268041317048318,0.23604004
20,1,60,42,21,1.831906346460898,0.24367817,1.8267153571082524,0.23604004
21,1,60,84,42,1.8318545534177286,0.24367817,1.826545627381477,0.23604004
22,1,60,126,63,1.8322802179514766,0.2353232,1.8262304564604372,0.24100854
23,1,60,252,126,1.8320177968567048,0.24367817,1.8271198802936683,0.23604004
24,2,20,63,21,1.832375104102315,0.2353232,1.8263489943236655,0.24100854
25,2,20,126,42,1.8321261641976565,0.24367817,1.8269844997534719,0.23604004
26,2,20,189,63,1.8329056692954386,0.24367817,1.8274736148143282,0.23604004
27,2,20,378,126,1.8325805363232532,0.24367817,1.8276972956510664,0.23604004
28,2,40,63,21,1.8320385142348632,0.24367817,1.8262701239195143,0.23604004
29,2,40,126,42,1.832089532336616,0.2353232,1.82635777277729,0.24100854
30,2,40,189,63,1.8320831213491306,0.24367817,1.8267180785188686,0.23604004
31,2,40,378,126,1.8320261195185983,0.24367817,1.827012778318587,0.23604004
32,2,60,63,21,1.8319670956857625,0.24367817,1.8268577996209059,0.23604004
33,2,60,126,42,1.832040193434213,0.24367817,1.8266934674803663,0.23604004
34,2,60,189,63,1.8320767065220778,0.24367817,1.8269574710692482,0.23604004
35,2,60,378,126,1.83210375088871,0.24367817,1.8263713490048028,0.23604004
